,timestamp,reportingGroup,locationName,value,unit
217,2021-01-10T01:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
218,2021-01-10T02:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
219,2021-01-10T03:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
220,2021-01-10T04:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
221,2021-01-10T05:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
222,2021-01-10T06:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
223,2021-01-10T07:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
224,2021-01-10T08:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
225,2021-01-10T09:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
226,2021-01-10T10:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
227,2021-01-10T11:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
228,2021-01-10T12:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
229,2021-01-10T13:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
230,2021-01-10T14:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
231,2021-01-10T15:00:00,Electricity,1000 Hakaniemen kauppahalli,0.060000000000000005,kWh
232,2021-01-10T16:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
233,2021-01-10T17:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
234,2021-01-10T18:00:00,Electricity,1000 Hakaniemen kauppahalli,0.060000000000000005,kWh
235,2021-01-10T19:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
236,2021-01-10T20:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
237,2021-01-10T21:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
238,2021-01-10T22:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
239,2021-01-10T23:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
240,2021-01-11T00:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
241,2021-01-11T01:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
242,2021-01-11T02:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
243,2021-01-11T03:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
244,2021-01-11T04:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
245,2021-01-11T05:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
246,2021-01-11T06:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
247,2021-01-11T07:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
248,2021-01-11T08:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
249,2021-01-11T09:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
250,2021-01-11T10:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
251,2021-01-11T11:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
252,2021-01-11T12:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
253,2021-01-11T13:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
254,2021-01-11T14:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
255,2021-01-11T15:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
256,2021-01-11T16:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
257,2021-01-11T17:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
258,2021-01-11T18:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
259,2021-01-11T19:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
260,2021-01-11T20:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
261,2021-01-11T21:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
262,2021-01-11T22:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
263,2021-01-11T23:00:00,Electricity,1000 Hakaniemen kauppahalli,0.060000000000000005,kWh
264,2021-01-12T00:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
265,2021-01-12T01:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
266,2021-01-12T02:00:00,Electricity,1000 Hakaniemen kauppahalli,0.060000000000000005,kWh
267,2021-01-12T03:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
268,2021-01-12T04:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
269,2021-01-12T05:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
270,2021-01-12T06:00:00,Electricity,1000 Hakaniemen kauppahalli,0.18,kWh
271,2021-01-12T07:00:00,Electricity,1000 Hakaniemen kauppahalli,1.09,kWh
272,2021-01-12T08:00:00,Electricity,1000 Hakaniemen kauppahalli,2.2199999999999998,kWh
273,2021-01-12T09:00:00,Electricity,1000 Hakaniemen kauppahalli,2.25,kWh
274,2021-01-12T10:00:00,Electricity,1000 Hakaniemen kauppahalli,2.25,kWh
275,2021-01-12T11:00:00,Electricity,1000 Hakaniemen kauppahalli,2.23,kWh
276,2021-01-12T12:00:00,Electricity,1000 Hakaniemen kauppahalli,2.25,kWh
277,2021-01-12T13:00:00,Electricity,1000 Hakaniemen kauppahalli,1.03,kWh
